id,2016_count,2016_sum,2016_mean,2017_count,2017_sum,2017_mean,2018_count,2018_sum,2018_mean,2019_count,2019_sum,2019_mean
"1",21212.000000000000000,18291.162602752447128,0.862302593001718,21202.000000000000000,19243.528216779232025,0.907627969850921,21212.000000000000000,19047.173799857497215,0.897943324526565,21212.000000000000000,19290.122092589735985,0.909396666631611
"5",345.000000000000000,280.450426340103149,0.812899786493053,341.000000000000000,217.583188652992249,0.638073867017573,345.000000000000000,136.133390575647354,0.394589537900427,345.000000000000000,198.864710658788681,0.576419451184895
"7",836.000000000000000,166.439648404717445,0.199090488522389,836.000000000000000,764.552216708660126,0.914536144388349,836.000000000000000,238.756703421473503,0.285594142848653,836.000000000000000,685.921176791191101,0.820479876544487
"13",815.000000000000000,214.894472293555737,0.263674199133197,810.000000000000000,-90.503981623565778,-0.111733310646378,815.000000000000000,-138.037648853380233,-0.169371348286356,815.000000000000000,-69.954167722607963,-0.085833334628967
"22",946.000000000000000,820.539677798748016,0.867378094924681,947.000000000000000,210.937339022755623,0.222742702241558,946.000000000000000,516.589261800050735,0.546077443763267,946.000000000000000,294.945696741342545,0.311781920445394
"30",86.000000000000000,67.403810739517212,0.783765241157177,85.000000000000000,49.012285441160202,0.576615122837179,86.000000000000000,39.803269237279892,0.462828712061394,86.000000000000000,47.223705410957336,0.549112853615783
"37",95.000000000000000,47.635336950421333,0.501424599478119,97.000000000000000,49.095865458250046,0.506142942868557,95.000000000000000,45.514463499188423,0.479099615780931,95.000000000000000,44.413634523749352,0.467511942355256
"38",11001.000000000000000,2076.045876011077780,0.188714287429423,10994.000000000000000,549.130531056551263,0.049948201842510,11001.000000000000000,182.750332464347593,0.016612156391632,11001.000000000000000,-1030.116114839795046,-0.093638406948441
"99",399.000000000000000,264.400533139705658,0.662657977793748,408.000000000000000,347.598994016647339,0.851958318668253,399.000000000000000,158.651237487792969,0.397622149092213,399.000000000000000,270.128537535667419,0.677013878535507
"98",493.000000000000000,354.973899454809725,0.720028193620304,494.000000000000000,416.984276160597801,0.844097725021453,493.000000000000000,343.383490651845932,0.696518236616320,493.000000000000000,384.542170610278845,0.780004402860606
"97",1161.000000000000000,894.915636852383614,0.770814502026170,1161.000000000000000,1012.477104336023331,0.872073302615007,1161.000000000000000,961.268475502729416,0.827965956505366,1161.000000000000000,981.085850268602371,0.845035185416540
"96",84115.000000000000000,69847.331152871251106,0.830379018639615,84072.000000000000000,73712.809750013053417,0.876781922043166,84115.000000000000000,74333.853436321020126,0.883716976000963,84115.000000000000000,74606.700143545866013,0.886960710260309
